,file_id,hard_prediction,model_prediction,saved_loss,total_loss
0,"[('0088',)]",0,0.04999159981629368,1.0832648277282715,2.061727285385132
1,"[('0385',)]",0,0.1548947875683972,0.9636470079421997,
2,"[('0348',)]",0,0.02531063691165129,1.11140775680542,
3,"[('0288',)]",0,0.167620464750226,0.9491363167762756,
4,"[('0766',)]",1,0.5207979043655531,2.189464807510376,
5,"[('0436',)]",1,0.9673865817669154,1.1787104606628418,
6,"[('0339',)]",1,0.8484077387881812,1.3440102338790894,
7,"[('0005',)]",0,0.2343776185233512,0.8730152249336243,
8,"[('0077',)]",0,0.23235582446365585,0.8753206133842468,
9,"[('0153',)]",0,0.16668201734462823,0.9502063989639282,
10,"[('0119',)]",0,0.10330532331193683,1.022472858428955,
11,"[('0745',)]",1,0.9402808102448329,1.2126895189285278,
12,"[('0030',)]",0,0.19057032072392752,0.9229673147201538,
13,"[('0905',)]",1,0.9799509577178076,1.1635977029800415,
14,"[('0138',)]",0,0.16269707892105886,0.9547502994537354,
15,"[('0759',)]",1,0.5194127894158955,2.195303440093994,
16,"[('0401',)]",0,0.07654036212475825,1.0529921054840088,
17,"[('0925',)]",1,0.9234749765058691,1.2347586154937744,
18,"[('0115',)]",1,0.8583757274452706,1.3284027576446533,
19,"[('0709',)]",1,0.7441864825585919,1.5322351455688477,
20,"[('0629',)]",0,0.048872551074632835,1.084540843963623,
21,"[('0340',)]",1,0.9181756067181125,1.2418851852416992,
22,"[('0079',)]",0,0.23375719674108417,0.8737226724624634,
23,"[('0259',)]",0,0.16709172885607898,0.9497392177581787,
24,"[('0432',)]",1,0.9487414227589821,1.20187509059906,
25,"[('0757',)]",1,0.5306217037468335,2.1489295959472656,
26,"[('0623',)]",0,0.055588307153370625,1.07688307762146,
27,"[('0910',)]",1,0.6969258595045429,1.6361405849456787,
28,"[('0878',)]",1,0.35900606025848913,3.176182270050049,
29,"[('0613',)]",0,0.019740797617045086,1.117758870124817,
30,"[('0618',)]",0,0.05283166690485482,1.080026388168335,
31,"[('0158',)]",0,0.1634861839193825,0.953850507736206,
32,"[('0522',)]",0,0.07347228258238897,1.0564905405044556,
33,"[('0309',)]",0,0.029827813483930977,1.1062569618225098,
34,"[('0449',)]",0,0.1649528444945656,0.9521781206130981,
